threshold,XGBoost_(calibrated),XGBoost,Logistic_Regression,Baseline_(demog_only),treat_all,treat_none
0.01,0.4184266911539639,0.41888582797673707,0.4184266911539639,0.4184266911539639,0.4184266911539639,0.0
0.02,0.4124922696351268,0.41465677179962895,0.4124922696351268,0.4124922696351268,0.4124922696351268,0.0
0.03,0.4064354889097157,0.4111215245235864,0.4064354889097157,0.4064354889097157,0.4064354889097157,0.0
0.04,0.40025252525252525,0.4065656565656566,0.40025252525252525,0.40025252525252525,0.40025252525252525,0.0
0.05,0.3939393939393939,0.4019138755980861,0.3939393939393939,0.3939393939393939,0.393939393939394,0.0
0.060000000000000005,0.38749194068343007,0.3839458413926499,0.38749194068343007,0.38749194068343007,0.38749194068343007,0.0
0.06999999999999999,0.3809058325187358,0.37943955685891173,0.3809058325187358,0.3809058325187358,0.3809058325187358,0.0
0.08,0.37417654808959155,0.37615283267457184,0.37417654808959155,0.37417654808959155,0.3741765480895916,0.0
0.09,0.3672993672993673,0.35947385947385946,0.3687978687978688,0.3672993672993673,0.3672993672993673,0.0
0.09999999999999999,0.3602693602693603,0.3552188552188552,0.36363636363636365,0.3602693602693603,0.3602693602693603,0.0
0.11,0.35308137555328567,0.3375893769152196,0.3568266939053456,0.35308137555328567,0.35308137555328567,0.0
0.12,0.34573002754820936,0.3333333333333333,0.3519283746556474,0.34573002754820936,0.34573002754820936,0.0
0.13,0.3382096830372692,0.32897944966910486,0.3343782654127482,0.3382096830372692,0.3382096830372693,0.0
0.14,0.33051444679351655,0.3118393234672304,0.31501057082452427,0.32276250880902047,0.3305144467935166,0.0
0.15000000000000002,0.3226381461675579,0.31016042780748665,0.3083778966131907,0.31550802139037437,0.3226381461675579,0.0
0.16,0.31457431457431456,0.2907647907647908,0.30735930735930733,0.3080808080808081,0.3145743145743146,0.0
0.17,0.3063161737860533,0.29262504563709385,0.3008397225264695,0.3004746257758306,0.3063161737860533,0.0
0.18000000000000002,0.29785661492978566,0.2919438285291944,0.2941611234294161,0.29268292682926833,0.29785661492978566,0.0
0.19,0.289188178077067,0.2880658436213992,0.2944257388701833,0.29536101758323985,0.289188178077067,0.0
0.2,0.2803030303030303,0.2840909090909091,0.28787878787878785,0.2878787878787879,0.28030303030303033,0.0
0.21000000000000002,0.271192942079018,0.28404296125815115,0.28922132719601074,0.2802071346375144,0.271192942079018,0.0
0.22,0.2618492618492618,0.28010878010878015,0.27195027195027194,0.27233877233877235,0.2618492618492619,0.0
0.23,0.2794175521448249,0.2851239669421488,0.26564344746162927,0.26426603699330975,0.252262888626525,0.0
0.24000000000000002,0.28548644338118023,0.28149920255183414,0.24880382775119617,0.25598086124401914,0.24242424242424243,0.0
0.25,0.2878787878787879,0.2777777777777778,0.24242424242424243,0.24747474747474751,0.23232323232323238,0.0
0.26,0.2858312858312858,0.273955773955774,0.2411957411957412,0.2342342342342342,0.22194922194922198,0.0
0.27,0.284142797841428,0.2700290577002906,0.24034869240348694,0.2258198422581984,0.21129099211290994,0.0
0.28,0.2946127946127946,0.265993265993266,0.2398989898989899,0.21717171717171713,0.20033670033670034,0.0
0.29000000000000004,0.29428083653435766,0.2618437900128041,0.2522407170294494,0.2082799829278702,0.1890738369611609,0.0
0.3,0.28787878787878785,0.2640692640692641,0.21645021645021645,0.1991341991341991,0.1774891774891775,0.0
0.31,0.279754062362758,0.25999121651295565,0.19565217391304346,0.18972332015810273,0.1655687307861221,0.0
0.32,0.2727272727272727,0.2557932263814617,0.18983957219251335,0.18003565062388588,0.15329768270944744,0.0
0.33,0.2593848937132519,0.2514699231117142,0.18385345997286293,0.1700587969244685,0.1406603346901854,0.0
0.34,0.25390266299357206,0.2470156106519743,0.17768595041322313,0.1225895316804407,0.12764003673094582,0.0
0.35000000000000003,0.24825174825174823,0.24242424242424243,0.1713286713286713,0.113053613053613,0.11421911421911424,0.0
0.36000000000000004,0.22727272727272727,0.22253787878787876,0.1732954545454545,0.10321969696969688,0.10037878787878785,0.0
0.37,0.23015873015873017,0.21765271765271765,0.1669071669071669,0.09307359307359303,0.08609908609908612,0.0
0.38,0.20918866080156406,0.21260997067448678,0.1603128054740958,0.09530791788856305,0.07135874877810366,0.0
0.39,0.21286636860407354,0.20740188772975657,0.15350223546944858,0.08569299552906107,0.05613512170889223,0.0
0.4,0.202020202020202,0.202020202020202,0.14646464646464644,0.07575757575757572,0.04040404040404044,0.0
0.41000000000000003,0.1813045711350796,0.19645608628659475,0.1391884951206985,0.06548536209553157,0.02413970210580385,0.0
0.42000000000000004,0.17554858934169276,0.17554858934169276,0.11650992685475442,0.05485893416927895,0.007314524555903867,0.0
0.43,0.1772993088782563,0.16959064327485382,0.09356725146198835,0.10499734183944714,-0.01010101010101,0.0
0.44,0.1720779220779221,0.14502164502164505,0.08549783549783552,0.09740259740259744,-0.028138528138528074,0.0
0.45,0.17906336088154273,0.1391184573002755,0.07713498622589535,0.0895316804407714,-0.04683195592286493,0.0
0.46,0.15881032547699217,0.132996632996633,0.06846240179573515,0.08136924803591472,-0.06621773288439947,0.0
0.47000000000000003,0.1383647798742138,0.14008004574042313,0.04431103487707258,0.06946826758147512,-0.08633504859919944,0.0
0.48000000000000004,0.14685314685314685,0.13403263403263405,0.0489510489510489,0.06177156177156176,-0.1072261072261072,0.0
0.49,0.14111705288175877,0.12774806892453955,0.05436720142602497,0.053773024361259664,-0.12893642305407,0.0
0.5,0.1515151515151515,0.12121212121212124,0.04545454545454544,0.04545454545454544,-0.15151515151515144,0.0
0.51,0.13203463203463203,0.11440940012368586,0.02102659245516386,0.03679653679653677,-0.17501546072974644,0.0
0.52,0.11237373737373735,0.12373737373737373,0.011363636363636326,0.027777777777777735,-0.19949494949494945,0.0
0.53,0.107672469374597,0.11702127659574468,0.0012894906511927151,0.039329464861379726,-0.22501611863313992,0.0
0.54,0.08761528326745717,0.09486166007905134,-0.00922266139657446,0.03162055335968378,-0.25164690382081684,0.0
0.55,0.10101010101010098,0.08754208754208748,-0.035353535353535415,0.023569023569023517,-0.2794612794612796,0.0
0.56,0.08126721763085397,0.07988980716253438,-0.04683195592286504,0.01515151515151511,-0.30853994490358133,0.0
0.5700000000000001,0.07646229739252991,0.07188160676532762,-0.0588442565186752,0.016208597603946384,-0.33897110641296696,0.0
0.5800000000000001,0.041125541125541065,0.08441558441558436,-0.07142857142857151,0.008658008658008615,-0.37085137085137104,0.0
0.59,0.05764966740576498,0.0764966740576497,-0.09977827050997776,0.0007390983000739593,-0.4042867701404284,0.0
0.6,0.05303030303030304,0.0681818181818182,-0.11363636363636356,-0.007575757575757541,-0.43939393939393917,0.0
0.61,0.033022533022533024,0.06798756798756797,-0.12820512820512822,-0.01631701631701632,-0.4763014763014762,0.0
0.62,0.012759170653907484,0.05980861244019137,-0.11881977671451358,-0.006379585326953763,-0.5151515151515149,0.0
0.63,0.01801801801801803,0.051187551187551195,-0.1339066339066339,-0.013923013923013927,-0.5561015561015559,0.0
0.64,-0.0016835016835016897,0.026936026936026924,-0.095959595959596,-0.021885521885521925,-0.5993265993265993,0.0
0.65,-0.02164502164502166,0.017316017316017285,-0.11038961038961045,-0.03030303030303036,-0.645021645021645,0.0
0.66,-0.026737967914438512,0.007130124777183583,-0.11140819964349377,-0.10071301247771837,-0.6934046345811051,0.0
0.67,-0.03213957759412307,-0.0036730945821855376,-0.12626262626262633,-0.10881542699724521,-0.7447199265381084,0.0
0.68,-0.05303030303030305,-0.015151515151515194,-0.07765151515151517,-0.11742424242424247,-0.7992424242424243,0.0
0.6900000000000001,0.026881720430107517,-0.027370478983382296,-0.0576735092864126,-0.12658846529814277,-0.8572825024437929,0.0
0.7000000000000001,0.06060606060606061,-0.0404040404040405,-0.0707070707070708,-0.09595959595959601,-0.9191919191919193,0.0
0.7100000000000001,0.045454545454545456,-0.017241379310344973,-0.040752351097178785,-0.10292580982236162,-0.9853709508881927,0.0
0.72,0.0,-0.030303030303030276,-0.02813852813852813,-0.11038961038961038,-1.0562770562770558,0.0
0.73,0.0,-0.04433221099887763,-0.06846240179573512,-0.11840628507295171,-1.1324354657687985,0.0
0.74,0.0,-0.059440559440559426,-0.07925407925407923,-0.040792540792540785,-1.214452214452214,0.0
0.75,0.0,-0.07575757575757575,-0.09090909090909094,-0.045454545454545456,-1.3030303030303028,0.0
0.76,0.0,-0.04545454545454547,-0.10353535353535356,-0.05050505050505051,-1.3989898989898988,0.0
0.77,0.0,-0.07707509881422928,-0.08168642951251648,-0.05599472990777339,-1.5032938076416336,0.0
0.78,0.0,-0.09504132231404963,-0.10881542699724521,-0.06198347107438018,-1.6170798898071626,0.0
0.79,0.0,-0.12987012987012994,-0.13708513708513714,-0.06854256854256857,-1.741702741702742,0.0
0.8,0.0,-0.16666666666666674,-0.03030303030303033,-0.07575757575757579,-1.878787878787879,0.0
0.81,0.0,-0.1411483253588518,-0.05342902711323767,0.015151515151515152,-2.0303030303030307,0.0
0.8200000000000001,0.0,-0.16329966329966344,-0.0774410774410775,0.015151515151515152,-2.198653198653199,0.0
0.8300000000000001,0.0,-0.14438502673796808,-0.028520499108734443,0.015151515151515152,-2.386809269162211,0.0
0.8400000000000001,0.0,-0.16666666666666688,-0.034090909090909144,0.0,-2.59848484848485,0.0
0.85,0.0,-0.1919191919191919,-0.0404040404040404,0.0,-2.838383838383838,0.0
0.86,0.0,-0.22077922077922077,-0.047619047619047616,0.0,-3.1125541125541116,0.0
0.87,0.0,-0.254079254079254,-0.07109557109557109,0.0,-3.428904428904428,0.0
0.88,0.0,-0.29292929292929293,-0.08080808080808081,0.0,-3.797979797979798,0.0
0.89,0.0,-0.33884297520661166,-0.09228650137741048,0.0,-4.234159779614325,0.0
0.9,0.0,-0.39393939393939403,-0.10606060606060608,0.0,-4.757575757575759,0.0
0.91,0.0,-0.3080808080808083,-0.12289562289562295,0.0,-5.397306397306399,0.0
0.92,0.0,-0.1969696969696972,0.030303030303030304,0.0,-6.196969696969701,0.0
0.93,0.0,-0.25108225108225135,0.030303030303030304,0.0,-7.22510822510823,0.0
0.9400000000000001,0.0,-0.3686868686868692,0.030303030303030304,0.0,-8.595959595959604,0.0
0.9500000000000001,0.0,-0.19696969696969743,0.015151515151515152,0.0,-10.51515151515153,0.0
0.9600000000000001,0.0,-0.2878787878787886,0.015151515151515152,0.0,-13.39393939393942,0.0
0.97,0.0,-0.41414141414141376,0.015151515151515152,0.0,-18.191919191919173,0.0
0.98,0.0,0.045454545454545456,0.0,0.0,-27.787878787878757,0.0
